rating,title,text,helpful_vote,verified_purchase
2,Works flawlessly! Allows 2 unique displays with 2018 MacBook Pro (Intel),"UPDATE (from 5 stars to 2 stars): JAN 2023: One of the HDMI ports stopped working, so now this thing has become pretty useless to me. If it had continued working, this would have been great. But unfortunately it randomly stopped working one day and it hasn't worked since.<br /><br />This little thing has been wonderful. I have a 2018 MacBook Pro (Intel, not M1/M2) and I was looking for a dock that would allow me to use 2 separate monitors with the laptop lid closed, and this one is perfect.<br /><br />It is pretty small (5"" x 2"" x 0.5"", smaller than a Pro Max iPhone) and has a premium metal (?) feel to it (all I know is that it isn't plastic). All you need to do is plug it into the MBP and it works from there (side note: you need to install a quick driver before using the dock, but it's very simple)<br /><br />I appreciate that it allows for pass through charging (which also ensures that high-energy USB devices receive ample power). Additionally, it is really nice that this has both DisplayPort AND HDMI, which is not common based on what I've seen.<br /><br />My only gripe with this is that there are only 2x USB ports (which I knew when I bought it). If you're looking for an easy to use Thunderbolt dock for your MacBook Pro, get this one.",0,False
2,"Doesn't support 2 displays, even for Intel Macs","I am quite disappointed in this dock. It had lots of positive reviews, but for my Intel (not M1/M2) Macbook Pro (2018), it only lets you output to 1 unique monitor (if you have more than 1 monitor plugged in, they will all show the same thing), even if your laptop lid is closed.<br /><br />The description said that for M1/M2 Macs, all the external monitors would show the same thing. But this is apparently the case for Intel Macs as well.<br /><br />Would NOT recommend if you have an Intel Mac and want to use 2 unique external monitors.",0,False
5,"Laptop Computer, 15.6"" , 8th Gen Intel Core i5-8265U Acer Aspire 5, 54-51DJ","I've been using this the last 6 weeks and it has lived up to my high expectations. We are a 4 computer family and will be ordering this again. The colors are the best I have seen in an all around computer at this price point. The sound is so much better then any laptop/notebook I have used at this price. It also has Acer Bluelight shield, an application that allows users to control how much blue light is used to display an image.<br /><br />Full HD IPS Display (1920 x 1080) , 8GB DDR4, 256GB PCIe NVMe SSD, Bluetooth 4.2, Keyboard, Windows 10, weighs 3.97 pounds, Intl UHD Graphics 620 GPU,  802.11ac Wi-Fi aka Wi-Fi 5.  Support for voice commands through Amazon Alexa and Microsoft Cortana.<br /><br />The 8GB DDR4 handles my heavy use of multiple tabs without a blink.<br /><br />I am not a gamer so this is perfect for me but if someone in your family loves playing the latest games out there this will not be the ideal computer due to the an integrated video card.<br /><br />ONE USB 3.1 Type C Gen One Port;<br />TWO USB 3.1 Gen One Ports (one with Power-off Charging);<br />ONE USB 2.0 Port;<br />ONE HDMI 2.0 Port;<br /><br />So it doesn't have a card reader (which I use most as reader from my digital camera or for extra memory), I attached a USB/SC card reader Hub that gives me plenty of additional utility.<br /><br />I love the new long lasting battery, it makes travel so much easier when you are on a plane and don't need to worry about finding a power outlet that your cord can reach.<br /><br />The  keyboard is a full-size layout including a 10-key numeric keypad.",15,False
2,"Inspiron i17RV-9909BLK 17.3-Inch Ultrabook 1.8 GHz IntelCore i5-3337U, 6GB DDR3, 750GB HDD,Windows8,Discontinued By Manufacturer","I loved it until it died yesterday. I got this in August 2016 - unboxed it in November. It died this weekend. It started clicking and knocking. gave me a blue screen message that &#34;an error occurred and it would restart&#34;. Now it says &#34;boot device not found&#34;. My last Dell lasted from 2008 to 2013. *sigh* I used it mostly for pictures, emails, facebook, twitter and videos - no gaming - I loved the wide screen and the weight.",0,True
5,Such an intelligent watch! Incredible!,"My wife loves this Amazfit Bip Pro 3 Smart Watch! She was using a generic brand before this, so this Bip Pro 3 just blows her old one away! This is seriously such an intelligent watch!<br /><br />First of all, it charges quickly and holds it’s charge for a long time. So you don’t have to charge it often. The charger itself is small and doesn’t take up much space.<br /><br />Second, the band is very comfortable. It is comfortable to even wear while sleeping. Speaking of sleeping, this watch monitors your sleeping habits: When you fall into a deep sleep (REM), light sleep, or if you have difficulties breathing while sleeping. Seeing the results of this after a full nights sleep is amazing! The things you never knew before!<br /><br />It monitors your activities, steps, heart rate, and stress levels. It can even tell if you are in a relaxed mood or not. Impressive!<br /><br />The app is so easy to use and you can control all of the features of the watch directly through the app. The watch even has an alarm clock if you want to use this instead of a traditional alarm clock or a phone. It will vibrate when it is time to wake up!<br /><br />So far, this watch has been my wife’s best friend. Far less expensive than a Fit Bit and well worth the price. It’s fantastic!",2,False
5,Cool device. My first artificial intelligence device.,"Easy to set up and use. Great for hands free. Love to set reminders, shopping lists, alarms, and listen to music. Very happy with my new Alexa device.",0,True
5,Excellent Tablet - beats an Apple Ipad 8to the core +++++Intel MicroProcessor+++++,Bought this as an early Christmas present for my wife.  She loves it and cannot put it down.  I checked it out - the WIFI on my cable internet is fast and seems to be a very stable platform.,2,True
1,They run at half speed on Aus Z590 with Intel I7-11700,"If I turn on XMP, even level 1, my PC crashes if I try to play a game.",0,True
1,I am returning it solely because some highly intelligent designer at LG choose to put the support feet ...,"Went to Target on Thanksgiving evening to buy some groceries, and on an impulse walked out with this TV for $499.<br /><br />Unfortunately, I am returning it solely because some highly intelligent designer at LG choose to put the support feet so far out that my 35.5 inch wide TV stand cannot safely support it. To be precise: the screw hole center-to-center distance for the support legs is 35 inches (the legs themselves obviously slightly straddle this dimension).<br /><br />Why LG, why would you choose to eliminate about 50% of your potential customers with such a design decision?<br /><br />I could have lived with all the other flaws on this unit (back connectors are awful if you want to wall mount, refresh rate is 60 not 120 Hz, etc).<br /><br />Congratulations: you just made me buy a Samsung.",2,False
5,Precious memories or blackmail intel...either way this item has your back!!!,"Look this just plain works. A 5 year old could install the included {and required} software and use. I’ve been looking for a product such as this for a while, to save recordings of my grandparents, parents etc. So pleased to have stumbled across this item!!!! No PhD required! Easy to use, directions super easy to follow > everything you need is included except old cassette tapes holding precious memories or blackmail material",0,True
5,Works with both intel and amd processors,Works well in both bands and with Bluetooth.  Works with both intel and amd processors contrary to description. Upgraded from an older i5 to a ryzen 5 and it worked with both with no issues.,0,True
5,Extremely handy to have and they work great when connected to a htpc like an Intel Nuc ...,You just can't beat the price and usefulness of this portable drive. I have several and used them to keep a backup of all my pics and also others to run a shutdown backup of my drives. Extremely handy to have and they work great when connected to a htpc like an Intel Nuc or a Raspberry Pi.,0,True
3,i4 Intellicharge universal smart battery Charger from NITECORE,"I ordered this NITECORE i4 Intellicharge universal smart battery Charger to enhance my charging needs, specifically my NCR 18650 batteries.  I also have a Lacrosse BC-700 I use primarily for AA and AAA batteries and I think it has been the best charger I have owned for this use.  I also own a MP-906 for charging my seldom used C, D and 9 volt batteries and I also like it and it does a good job charging these specific batteries for me.  I recently realized the more frequent purchase of the 3.7v Li-ion batteries were being charged with a cheap charger I got with a couple of purchases I made for Led Flashlights and a storage device.  I wanted a smart charger for them and the safe charging that is capable with a microprocessor controlled device for this purpose.  I have already tried it with my rechargeables, AA, C and my Li-ion batteries.  The design of the positive terminal contact for batteries charging is a bump of chromed metal which caused the battery to slide off to the side, an irritant to me and the Li-ion batteries with the flat positive end needs some manipulation and for me, a magnet, to get them to seat for charging.  If this won't bother you, OK.  What I have noticed first was the AA rechargeable Alkaline batteries were charged up to a slightly higher value, 1.5+ as to the 1.35 or so I got with the Lacrosse, Similar results came with the C cells and now the Li-ion batteries. My use of rechargeable alkaline batteries in this charger makes them get hot if they stay in the charger past topping out, so I only charge them while I am right there and I do not leave them in the charger unattended - ever.  If you do this you will most likely have problems.  I should just use the charger that came with them, that I didn't mention before, as they are a special trial battery for me.  They are Igo.  I'm happy at this time and if it holds up and continues to impress me, like my Lacrosse has for many years, I may up the stars given in this review.  Time will tell.  After using this charger now along side other smart chargers I have purchased since purchasing this unit I generally feel this $20 unit is not my best charger, the LittoKala 260 is my most trusted smart charger for several reasons, the least of which is it's ability to discharge and recharge a cylindrical battery of lithium ion type design. This battery charger is now used sparingly and will go the way of chargers that don't do what you want them to and really just disappoints.",3,True
5,Intel 530 Series 240GB 2.5-Inch Internal Solid State Drive (Reseller Kit) SSDSC2BW240A4K5 by Intel,"I had a programming glitch or a virus on my computer that was causing my regular use of a MY.MSN home page and a use of Amazon.com going bonkers and that was causing it to continuously load and reload pages until it drove me crazy and would freeze up my computer.  I did what I could to remove my Internet Explorer and reload it to make my problem go away to no avail and just decided to start over with a fast solid state drive.  I just loaded my programming needs and a couple of games on it and will designate other storage needs to go to my old drives on a standalone enclosure.  Now all is well since I installed this Intel 530 Series 240GB 2.5-Inch Internal Solid State Drive (Reseller Kit) and it is working great,  I am happy with the purchase and my bonkers have faded away.  It is fast and the better performance numbers on my computer's overall score, when I tested it, have improved  and I am a happy camper now.<br /><br />I love it and do recommend it to those who would like to try a solid state drive as the price of this drive, compared to other makes and the fact the bugs seem to have been worked out of the older Intel drives, before I came along. Go with the Intel Solid State Drive with the Highest model number and you won't experience the old problems.  I took the leap and am way impressed. I love it.",0,True
5,Connected my Old Intel MacBook to my OLDER (1st Gen) Studio Display,"Works as expected, which is more than I can say for the other (less expensive) adapters I tried. Recommend that you start with this one.",0,True
5,Works fine with Intel DB43LD,Arrived promptly and worked fine with our Intel DB43LD motherboard.,0,True
5,Still works better than any I've used today on my modded Intel ...,"Used this years ago on my Pentium D Extreme Edition. Still works better than any I've used today on my modded Intel Xeon LGA775 setup. Keeps it cool and when it's on a normal speed, it's pretty quiet. I can't hear anything over my power supply though.",0,True
4,so good. Seems to be cooling my Intel Xeon (modded ...,"So far, so good. Seems to be cooling my Intel Xeon (modded for LGA775 socket) that's overclocked about 1GHz just fine. Same 'complaints' as everyone else. Large size, annoying push-in connectors are a pain.",0,True
5,Works great on an Intel NUC,Works just fine on my 7th gen NUC.<br /><br />Great price.,0,True
4,"Dell i3464-3000BLK-PUS Inspiron AIO, 23.8"" AIO, (7th Gen Core i3 (up to 2.40 GHz), 8GB, 1TB HDD, Intel HD Graphics 620, Black","My daughter and I set this computer up yesterday so my review is not based on weeks/months use of it.  However, I can probably tell you some things that might be good to know.  First of all, I am NOT computer techy and will not delve into the specs.  Besides, all that is already listed in the product description.  It runs on Windows 10, 64-bit. I'm not super-fond of any Windows platform for privacy reasons, but overall it seems to function well with few problems thus far.<br /><br />The set up was very easy.  Actually the most difficult part was clearing away the previous computer and all it's various components.  There is no separate CPU which I find to be absolutely delightful.  I actually have a nice, open space on the floor where the old one sat.  The CPU is inside the monitor, as well as the DVD drive.  It comes with all the cords you need, including a wireless mouse and keypad.  I was surprised that the sound from the monitor was much better than any other monitor with speakers I've ever used. It wasn't nearly what an audiophile would want, but good enough for basic listening needs.  I still attached my separate sound system because I love really good sound.  The Bluetooth function connected quickly to all my devices.<br /><br />The colors are vivid and defined, the monitor can be angled for different views, and everything is adjustable.  The included instruction showed a base plate for the monitor but mine did not have one.  The monitor stands just fine none-the-less.  The DVD drive is mounted on the right-side of the monitor and seems to work very well.  We had this up and running in about 20 minutes and we were moving kind of slowly.<br /><br />What did not work at all was the Netflix app.  It needs to be uninstalled and re-installed from the Google Play Store.  It will give an error code but it was an easy fix.  The Cortana feature on this computer only works when the computer is initially booted.  Afterwards it fails to hear although I have gone through the mike wizard set-up several times.  I don't know what is wrong with that but it might be something most people would like have working well.  Also, the mouse &#34;copy/paste&#34; function doesn't work. It will copy but you have physically hit &#34;control V&#34; to get it to paste.  It seems to be fast - it moves from webpage to webpage rapidly, movies and videos have yet to glitch, and......it' so quiet.  My previous computer was noisy all the time.  This one is so very, quite.....no cpu sounds at all.<br /><br />Overall so far:  I like it, I wish the Cortana worked like it's supposed too, it's fast and the monitor is large and clear.  Also it's touch screen so you can just touch any app on it to open it up. I'm actually to lazy to lean that far and prefer to use my mouse, but it seems to be a reliably working feature.  However, the touch screen makes it really easy and fast to delete a bunch of pictures.  I had a LOT of pictures from my kid's various science projects that I no longer needed and just touching the screen marking them for deletion was about 20x faster than using a mouse. I will definitely update this review as I use this computer more.  If anything malfunctions or is super wonderful I'll report back.  As of this review this computer costs $729.99.  It also has many various ports on the sides and rear and are very easy to access.",20,False
5,Fast and Reliable Intel Pro 520 Series SSD 150 GB and 180 GB,"I have used 150 GB and 180 GB Intel Pro 520 Series SSD or solid state drives to upgrade older laptops and improve their boot time and performance in 2020. It worked pretty well that this SSD at both 150 GB and 180 GB sizes was pretty reliable and made older laptops to boot up completely in about 15-20 seconds. The overall performance of a laptop also depends on CPU and RAM, but this SSD is the cheapest upgrade to provide significant boost to a laptop's performance. It was around 25-30 bucks for 180 GB and 22-25 bucks for 150 GB on another platform in 2020, but the value has changed quite a bit on Amazon this year.",0,False
5,"It is not just working, but working intelligently!","I used a different brand before and that thing sucked: it often couldn't connect automatically to a newly connected device, and finally it broke itself. This one is real cool. You know I'm an electronics fan with so many HDMI devices. Believe me it works like a charm! The remote adds even more value to it, although I don't quite need it - because you only need to watch one source on TV at a time, and the switch will always connect you to the latest source connected.",0,True
5,"Excellent intelligent tracking, humanoid detection, zoom and other features","This camera has excellent zoom (5x) which is an excellent feature along with intelligent tracking. It's pretty easy to set up the camera using the camhi/camhipro using the steps provided in the manual. Inserting the MicroSD card needed unscrewing three screws and easy swap using the clip provided with the camera.<br />In my case I had to purchase a 16ft extension cable as the adapter cable with this camera was shorter for my needs.<br />Over the camera has really great features such as zoom, pan tilt, saving the ptz angle, FTP, email.<br />Some features such as locking PTZ using the app would be very useful because there is a chance that one can accidentally move the camera using two-finger zoom that people are used to.<br />I would have liked that the camera had come with an extension cable itself but for the number of features (zoom, quality of pictures/video) and being able to catch more specific things from a distance would be helpful for the neighborhood where we frequently encounter package thefts and accidents.<br />I will update the review as I use this for a longer time period.",0,True
5,because they beat the hell out of intel's stupid integrated graphics.,"i used to be an intel & nvidia fan until i realized that AMD has a better grip on processing graphics. frankly, intel graphics suck and they should just give up on that. i really don't care what the benchmarks say with regard to speed--what does really matter is how it all works together for a great gaming experience, and that is what i get with AMD.  i have purchased several computers for myself as well as for my family members and I always hold out for AMD processor and graphics.  IT WORKS! i feel sorry sometimes for people who get fooled by intel and their integrated graphics--they have never succeeded in that department but somehow they manage to fool some of the manufacturers. i decided a long time ago i would rather have great graphics than to worry about business apps that carry out to an extra decimal place or two.  a great combination and best bang for the buck is a gateway DX series desktop with an AMD multi-core processor--now that is a real powerhouse that beats the competition for quality function.",0,False
